                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2454,                 3.7486,                 4.2205,                0.00294,                0.71429,                0.01579,                0.00354,                 3.1615,                 3.8459,                 4.1586,                  6e-05,                  6e-05,                  6e-05
                      2,                  3.048,                 3.6177,                  4.203,                0.00294,                0.71429,                0.03806,                0.00914,                   3.16,                 3.8479,                 4.1577,             0.00013446,             0.00013446,             0.00013446
                      3,                 3.1018,                 3.4861,                 4.1813,                0.00294,                0.71429,                0.05017,                0.00957,                 3.1546,                 3.8495,                 4.1546,             0.00020258,             0.00020258,             0.00020258
                      4,                  3.152,                  3.497,                 4.1471,                0.00294,                0.71429,                0.07074,                0.01716,                 3.1444,                 3.8505,                 4.1484,             0.00026436,             0.00026436,             0.00026436
                      5,                   3.17,                 3.6304,                 4.1587,                0.00275,                0.66667,                0.09688,                0.01773,                 3.1356,                 3.8477,                 4.1429,             0.00031981,             0.00031981,             0.00031981
                      6,                 3.0109,                 3.5026,                  4.141,                0.00294,                0.71429,                0.10165,                0.01981,                 3.1207,                 3.8431,                 4.1342,             0.00036892,             0.00036892,             0.00036892
                      7,                 2.9729,                 3.5791,                 4.1385,                0.00275,                0.66667,                0.09787,                0.02339,                 3.1026,                 3.8368,                 4.1227,              0.0004117,              0.0004117,              0.0004117
                      8,                 3.0794,                 3.4345,                 4.1073,                0.00275,                0.66667,                0.08256,                0.02066,                 3.0804,                 3.8264,                 4.1068,             0.00044814,             0.00044814,             0.00044814
                      9,                 3.0876,                 3.4251,                 4.0744,                0.00275,                0.66667,                0.30921,                0.08887,                 3.0663,                 3.8273,                 4.0871,             0.00047824,             0.00047824,             0.00047824
                     10,                 3.0849,                 3.4872,                 4.0655,                0.00275,                0.66667,                0.36439,                0.09747,                 3.0577,                 3.8145,                 4.0618,             0.00050201,             0.00050201,             0.00050201
                     11,                  3.098,                 3.4848,                 4.0136,                0.00294,                0.71429,                0.19535,                0.04982,                 3.0657,                 3.8178,                 4.0366,             0.00051944,             0.00051944,             0.00051944
                     12,                 3.0886,                  3.515,                 3.9964,                0.00275,                0.66667,                0.09119,                0.02083,                 3.0703,                 3.8179,                 4.0131,             0.00053054,             0.00053054,             0.00053054
                     13,                 2.8183,                  3.448,                 3.9562,                0.00275,                0.66667,                0.12604,                0.03293,                 3.0957,                 3.8733,                 3.9351,              0.0005353,              0.0005353,              0.0005353
                     14,                 3.0484,                 3.5224,                  3.954,                0.00255,                0.61905,                 0.0927,                0.02369,                 3.0936,                 3.8455,                 3.9338,             0.00053372,             0.00053372,             0.00053372
                     15,                 2.8919,                 3.4524,                 3.8994,                0.00255,                0.61905,                0.05296,                0.01518,                 3.0927,                 3.8392,                 3.9035,             0.00052581,             0.00052581,             0.00052581
                     16,                 2.5208,                  3.855,                 3.8478,                0.00255,                0.61905,                0.05223,                0.01443,                  3.078,                 3.8552,                 3.8908,             0.00051156,             0.00051156,             0.00051156
                     17,                 2.4278,                 3.8225,                 3.8009,                0.00275,                0.66667,                0.05649,                0.01335,                 3.0715,                 3.7965,                 3.9367,             0.00049098,             0.00049098,             0.00049098
                     18,                  2.466,                 3.7906,                 3.8386,                0.00275,                0.66667,                0.05112,                0.01035,                  3.156,                 3.7039,                 4.1093,             0.00046406,             0.00046406,             0.00046406
                     19,                 2.4467,                 3.7032,                 3.7534,                0.00275,                0.66667,                0.04014,                 0.0089,                 3.2173,                 3.6797,                 4.2224,              0.0004308,              0.0004308,              0.0004308
                     20,                 2.4297,                 3.5581,                  3.706,                0.00275,                0.66667,                0.03937,                0.00809,                 3.3344,                 3.7074,                 4.3696,             0.00039121,             0.00039121,             0.00039121
                     21,                 2.4782,                 3.6317,                 3.7498,                0.00275,                0.66667,                0.04924,                0.00952,                 3.4272,                 3.7214,                  4.452,             0.00034528,             0.00034528,             0.00034528
                     22,                  2.348,                 3.6953,                 3.6763,                0.00275,                0.66667,                0.04509,                0.00943,                 3.3967,                 3.7765,                 4.3263,             0.00029302,             0.00029302,             0.00029302
                     23,                 2.4867,                 3.5831,                 3.6208,                0.00275,                0.66667,                0.04809,                0.00994,                 3.3764,                 3.8202,                 4.2426,             0.00023442,             0.00023442,             0.00023442
                     24,                  2.257,                 3.5656,                 3.6331,                0.00275,                0.66667,                0.05142,                0.01155,                 3.4274,                 3.7448,                 4.3316,             0.00016948,             0.00016948,             0.00016948
                     25,                 2.3142,                 3.5261,                   3.65,                0.00275,                0.66667,                0.05134,                0.01133,                   3.48,                 3.7006,                 4.4493,             9.8208e-05,             9.8208e-05,             9.8208e-05
