                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0305,                  2.686,                  1.462,                0.00392,                0.95238,                0.52406,                0.35757,                0.67912,                 3.1698,                  1.245,                  6e-05,                  6e-05,                  6e-05
                      2,                0.84426,                 2.4221,                 1.3384,                0.00392,                0.95238,                0.68633,                0.53839,                0.69143,                 3.1511,                 1.2367,             0.00013723,             0.00013723,             0.00013723
                      3,                0.86714,                  1.853,                  1.386,                0.00392,                0.95238,                0.52185,                0.33389,                 1.1345,                 3.3142,                  1.681,             0.00021129,             0.00021129,             0.00021129
                      4,                0.80291,                 1.4692,                 1.2715,                0.00314,                 0.7619,                0.51878,                 0.2428,                 1.4986,                 3.4632,                  2.044,             0.00028218,             0.00028218,             0.00028218
                      5,                0.85157,                  1.384,                  1.313,                0.00314,                 0.7619,                0.57534,                0.28058,                 1.5811,                 3.3803,                 2.1162,              0.0003499,              0.0003499,              0.0003499
                      6,                0.93757,                 1.6021,                 1.4375,                0.26199,                0.59191,                0.56345,                0.34725,                 1.3337,                 3.2577,                 1.9233,             0.00041446,             0.00041446,             0.00041446
                      7,                0.84875,                 1.5726,                 1.3484,                0.75413,                 0.4388,                0.56787,                0.33561,                 1.2602,                  3.129,                 1.7757,             0.00047585,             0.00047585,             0.00047585
                      8,                0.98464,                 1.4889,                 1.3912,                0.00373,                0.90476,                0.59412,                0.32106,                 1.3236,                 3.2643,                 1.9058,             0.00053407,             0.00053407,             0.00053407
                      9,                0.88645,                 1.4778,                 1.3269,                0.11823,                0.71429,                0.49467,                0.19971,                  1.571,                 3.4407,                 2.2217,             0.00058912,             0.00058912,             0.00058912
                     10,                0.91496,                 1.5165,                 1.3635,                0.34725,                0.52381,                0.36422,                0.13206,                 1.8748,                 3.5991,                 2.9434,               0.000641,               0.000641,               0.000641
                     11,                0.99967,                 1.4689,                 1.3663,                0.35828,                0.42857,                0.31863,                0.17383,                 1.7985,                 3.4084,                 2.6783,             0.00068972,             0.00068972,             0.00068972
                     12,                0.97284,                 1.4793,                 1.3901,                0.47133,                0.38095,                0.36455,                0.14264,                 2.2323,                 3.6114,                 2.9917,             0.00073527,             0.00073527,             0.00073527
                     13,                0.94137,                 1.3399,                 1.3526,                0.34549,                0.33333,                0.28995,                0.05491,                  2.811,                  3.778,                  5.603,             0.00077765,             0.00077765,             0.00077765
                     14,                0.88532,                  1.425,                 1.2952,                0.42478,                0.33333,                0.30917,                0.06714,                 3.0819,                  3.626,                 6.6735,             0.00081686,             0.00081686,             0.00081686
                     15,                0.92697,                 1.3412,                 1.3364,                0.71533,                0.52381,                0.49851,                0.21667,                 2.1242,                 3.5865,                 3.5771,              0.0008529,              0.0008529,              0.0008529
                     16,                 1.0036,                  1.301,                 1.4502,                0.76373,                0.47619,                0.54327,                0.23924,                 1.9879,                 3.1549,                 3.1052,             0.00088578,             0.00088578,             0.00088578
                     17,                 0.8997,                 1.2868,                 1.3545,                0.77516,                0.47619,                0.54708,                 0.2036,                 2.1601,                 2.9078,                 3.2805,             0.00091549,             0.00091549,             0.00091549
                     18,                  1.036,                 1.4016,                 1.4646,                0.56703,                0.42857,                0.48896,                0.20872,                  1.764,                 3.0734,                 2.6179,             0.00094203,             0.00094203,             0.00094203
                     19,                0.98009,                 1.2977,                 1.4246,                0.52331,                0.47619,                0.44183,                0.24331,                 1.7061,                 2.9529,                 2.5911,              0.0009654,              0.0009654,              0.0009654
                     20,                0.87658,                 1.2794,                 1.3209,                0.73041,                0.42857,                0.52338,                0.24155,                 1.5904,                 2.8754,                 2.9502,              0.0009856,              0.0009856,              0.0009856
                     21,                 0.9349,                 1.3656,                  1.391,                 0.6044,                0.42857,                0.51367,                0.22208,                 1.4705,                 2.8873,                 2.2902,              0.0010026,              0.0010026,              0.0010026
                     22,                 1.0095,                 1.2755,                 1.3987,                 0.3698,                0.42857,                0.31393,                0.15859,                 1.7227,                 2.9051,                 2.4643,              0.0010165,              0.0010165,              0.0010165
