                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7776,                 3.0752,                 2.3953,                0.00333,                0.80952,                0.39132,                0.20913,                 2.0124,                 3.8968,                 2.6831,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.7096,                 2.8251,                 2.3947,                0.00333,                0.80952,                0.41618,                 0.1812,                 2.1149,                 3.9494,                 2.7534,             0.00013723,             0.00013723,             0.00013723
                      3,                  1.625,                 2.5246,                 2.3639,                0.00333,                0.80952,                 0.4091,                0.15145,                 2.1797,                 4.0633,                 2.9011,             0.00021129,             0.00021129,             0.00021129
                      4,                 1.6622,                 2.4075,                 2.3308,                0.01103,                0.66667,                0.36418,                0.14232,                 2.1295,                 4.0708,                 2.8714,             0.00028218,             0.00028218,             0.00028218
                      5,                 1.6019,                   2.35,                 2.2759,                      1,                0.09203,                0.39317,                0.13985,                 2.1856,                 3.9376,                 2.9256,              0.0003499,              0.0003499,              0.0003499
                      6,                 1.6922,                 2.4975,                 2.3193,                      1,                0.08781,                0.38244,                0.15298,                  2.305,                  3.844,                 3.0376,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.5649,                 2.4922,                 2.2944,                      1,                0.14268,                0.46718,                0.17743,                 2.3663,                 3.7995,                 3.0673,             0.00047585,             0.00047585,             0.00047585
                      8,                 1.7056,                 2.3962,                 2.3524,                      1,                0.21184,                0.45127,                0.20351,                 2.2522,                 3.6971,                 2.9479,             0.00053407,             0.00053407,             0.00053407
                      9,                 1.6813,                 2.3212,                 2.3388,                0.73728,                0.28571,                0.42611,                0.19745,                 2.1891,                 3.6688,                 2.9041,             0.00058912,             0.00058912,             0.00058912
                     10,                  1.625,                  2.395,                  2.351,                0.58996,                0.38095,                0.38577,                 0.1621,                 2.3026,                 3.6747,                  2.977,               0.000641,               0.000641,               0.000641
                     11,                 1.6862,                 2.3981,                 2.3439,                 0.4213,                0.28571,                0.33005,                0.12884,                 2.4254,                 3.7052,                 3.1335,             0.00068972,             0.00068972,             0.00068972
                     12,                 1.6699,                 2.4154,                 2.3519,                0.47472,                0.33333,                 0.3366,                0.13785,                 2.2476,                 3.5714,                 2.9697,             0.00073527,             0.00073527,             0.00073527
                     13,                 1.5573,                 2.3036,                 2.3507,                0.52523,                0.26453,                0.27698,                0.10845,                 2.1718,                 3.5136,                 2.9263,             0.00077765,             0.00077765,             0.00077765
                     14,                 1.6992,                 2.4434,                 2.3434,                0.40797,                0.38095,                0.33547,                0.11708,                 2.2888,                 3.4595,                 2.9806,             0.00081686,             0.00081686,             0.00081686
                     15,                 1.6946,                 2.4112,                 2.3806,                0.67069,                0.42857,                0.47524,                0.18252,                 2.3318,                 3.2994,                 3.0278,              0.0008529,              0.0008529,              0.0008529
                     16,                 1.5693,                  2.354,                 2.3175,                 0.5656,                 0.4343,                0.46846,                0.21649,                 2.2255,                 3.3443,                 3.0203,             0.00088578,             0.00088578,             0.00088578
                     17,                 1.6681,                 2.2828,                 2.3716,                0.43641,                0.47619,                0.44802,                0.22594,                 2.2104,                 3.1945,                  3.029,             0.00091549,             0.00091549,             0.00091549
                     18,                 1.6616,                 2.2094,                 2.3737,                0.66359,                0.37612,                0.41803,                0.15569,                 2.3856,                 3.2018,                 3.0848,             0.00094203,             0.00094203,             0.00094203
                     19,                 1.6906,                  2.209,                 2.3147,                0.51903,                0.42857,                0.38141,                0.12601,                 2.2995,                 3.2067,                 3.0633,              0.0009654,              0.0009654,              0.0009654
                     20,                 1.5643,                 2.2544,                 2.2388,                0.51077,                0.33333,                0.37654,                0.14613,                  2.072,                 3.1899,                 2.9447,              0.0009856,              0.0009856,              0.0009856
                     21,                 1.7314,                 2.2411,                 2.2937,                0.72189,                0.42857,                0.42179,                0.13436,                 2.0818,                 3.2367,                 2.9625,              0.0010026,              0.0010026,              0.0010026
                     22,                 1.6933,                 2.3853,                 2.3022,                0.49481,                0.33333,                0.39293,                0.12569,                 2.1168,                 3.1879,                  2.985,              0.0010165,              0.0010165,              0.0010165
                     23,                 1.6501,                 2.3965,                 2.3329,                 0.5834,                0.28571,                0.32931,                0.12823,                 2.1475,                 3.1094,                 2.9893,              0.0010272,              0.0010272,              0.0010272
                     24,                 1.5799,                 2.1372,                 2.2548,                0.59723,                0.38095,                0.36432,                0.14279,                 2.0529,                 3.0944,                 2.8786,              0.0010347,              0.0010347,              0.0010347
                     25,                 1.7119,                 2.2465,                  2.318,                0.54632,                0.33333,                0.31379,                0.12761,                 2.0538,                 3.0975,                 2.8738,              0.0010391,              0.0010391,              0.0010391
                     26,                 1.6387,                 2.1794,                  2.398,                 0.5937,                0.27897,                0.30331,                0.13549,                 1.9697,                 3.0637,                 2.7988,                0.00101,                0.00101,                0.00101
                     27,                 1.6101,                 2.1579,                 2.2734,                0.55344,                0.33333,                0.34781,                0.13307,                 2.0577,                 3.1265,                 2.8506,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.5999,                 2.0811,                 2.1796,                0.42398,                0.38095,                0.32745,                0.12785,                 2.2458,                 3.1166,                 2.9537,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.6272,                 2.2157,                 2.2866,                 0.6764,                0.38095,                0.45507,                0.15727,                 2.1315,                 2.9916,                 2.8792,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.5287,                 2.2467,                 2.2112,                0.66161,                0.52381,                0.52169,                0.19324,                 2.0109,                 2.9716,                 2.7842,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5509,                 2.0424,                 2.2182,                0.77257,                0.47619,                0.53575,                0.21876,                 2.0106,                 2.8815,                 2.7825,               0.000812,               0.000812,               0.000812
                     32,                 1.6213,                  2.077,                 2.2921,                0.81795,                0.42857,                 0.5395,                0.24823,                 2.0829,                 2.8599,                 2.8529,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.5273,                 2.1896,                 2.2544,                0.71779,                0.47619,                0.51964,                0.23874,                 2.0816,                 2.8275,                 2.8419,              0.0007328,              0.0007328,              0.0007328
                     34,                  1.607,                 2.1001,                 2.2983,                0.70557,                0.47619,                0.52412,                0.23582,                  2.071,                 2.8295,                 2.8458,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.5635,                 2.0253,                 2.2455,                0.68041,                 0.5076,                0.54282,                0.25425,                 2.0911,                 2.8204,                 2.8359,              0.0006536,              0.0006536,              0.0006536
                     36,                  1.625,                 2.0145,                 2.1819,                0.63063,                0.48834,                0.52394,                0.25688,                 2.0856,                 2.7906,                  2.819,               0.000614,               0.000614,               0.000614
                     37,                 1.5213,                 2.0249,                 2.1584,                0.77499,                0.42857,                0.53196,                0.25176,                 2.0841,                 2.7637,                 2.8004,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.394,                  1.818,                 2.1532,                 0.7611,                0.47619,                0.52474,                0.24587,                 2.0793,                 2.7341,                  2.817,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.6237,                 2.1608,                 2.1446,                0.64108,                0.52381,                0.54346,                0.26779,                 2.0553,                 2.7174,                 2.8138,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5167,                 1.9159,                 2.1583,                0.60829,                0.51795,                0.55023,                0.25367,                 2.0294,                 2.7616,                 2.8058,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3079,                 2.6277,                 2.1045,                0.69637,                0.47619,                0.55577,                 0.2639,                 2.0249,                 2.7568,                 2.8129,               0.000416,               0.000416,               0.000416
                     42,                 1.3546,                 2.5791,                 2.1352,                0.61721,                  0.538,                0.55191,                0.26035,                 2.0472,                 2.7907,                 2.8206,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.2577,                  2.249,                 2.0438,                0.62161,                0.52381,                0.56287,                0.24793,                 2.1479,                 2.8021,                 2.8661,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4222,                 2.2878,                 2.2565,                0.64338,                0.60193,                0.56587,                 0.2511,                 2.2258,                 2.8293,                 2.9082,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.3059,                 2.2134,                 2.1481,                0.65407,                0.57143,                0.55804,                0.24931,                 2.2645,                 2.8181,                 2.9342,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.209,                 2.3168,                 2.0774,                0.82677,                0.57143,                0.56862,                0.25354,                 2.2156,                 2.8303,                 2.9177,               0.000218,               0.000218,               0.000218
                     47,                 1.2466,                 2.1425,                 2.0766,                 0.7037,                0.57143,                0.55065,                0.26636,                 2.1525,                 2.8631,                  2.885,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.1993,                 2.1229,                  2.001,                0.70726,                0.57143,                0.58186,                0.27811,                 2.0582,                 2.8564,                 2.8335,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1531,                  2.042,                 1.9903,                0.79386,                0.55096,                0.58345,                0.27677,                  1.995,                 2.7921,                 2.7929,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.1339,                 1.9676,                 1.9421,                0.63398,                0.57143,                0.56599,                0.24786,                 1.9833,                 2.7471,                 2.7687,               5.96e-05,               5.96e-05,               5.96e-05
