                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0186,                 3.5185,                  2.664,                0.00333,                0.80952,                0.32891,                 0.1566,                 2.0145,                 4.0083,                   2.79,                  6e-05,                  6e-05,                  6e-05
                      2,                  2.011,                 3.2361,                 2.7277,                0.00373,                0.90476,                0.28275,                0.12223,                 2.1245,                 4.0279,                 2.8646,             0.00013723,             0.00013723,             0.00013723
                      3,                 1.9129,                 2.9808,                 2.6526,                0.00392,                0.95238,                0.24388,                0.08526,                 2.2614,                 4.0732,                 2.9917,             0.00021129,             0.00021129,             0.00021129
                      4,                 1.9812,                 2.8375,                 2.7054,                0.00314,                 0.7619,                0.35166,                0.12799,                 2.1746,                 4.0475,                 2.9815,             0.00028218,             0.00028218,             0.00028218
                      5,                 1.9097,                 2.8746,                 2.6272,                0.00333,                0.80952,                0.35967,                 0.1112,                 2.2266,                  3.991,                 2.9653,              0.0003499,              0.0003499,              0.0003499
                      6,                 2.0865,                 2.8908,                 2.6928,                0.00314,                 0.7619,                0.33164,                0.10958,                 2.3139,                 3.9573,                 2.9757,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.8778,                  2.904,                 2.6173,                0.01006,                0.71429,                 0.3209,                0.07247,                 2.6009,                  4.013,                 3.1656,             0.00047585,             0.00047585,             0.00047585
                      8,                 2.0135,                 2.7759,                  2.685,                0.00333,                0.80952,                0.29081,                0.09919,                 2.5494,                 4.0489,                 3.1555,             0.00053407,             0.00053407,             0.00053407
                      9,                 1.9757,                 2.7434,                 2.6219,                 0.3553,                0.28571,                0.29117,                0.10274,                 2.4063,                 4.0738,                 3.1436,             0.00058912,             0.00058912,             0.00058912
                     10,                 1.9523,                  2.852,                 2.6813,                0.41284,                0.28571,                0.32216,                  0.126,                 2.4533,                 3.9658,                 3.0816,               0.000641,               0.000641,               0.000641
                     11,                 1.9807,                 2.7682,                 2.6516,                 0.5554,                0.33333,                0.31504,                0.12192,                 2.3197,                 3.8545,                 2.9726,             0.00068972,             0.00068972,             0.00068972
                     12,                 1.9701,                 2.8387,                 2.6546,                0.20347,                0.19048,                 0.1795,                0.05635,                 2.4491,                 3.8651,                 3.2817,             0.00073527,             0.00073527,             0.00073527
                     13,                 1.8697,                 2.6546,                 2.6745,                0.00373,                0.90476,                0.22405,                0.05065,                 2.6684,                 3.7338,                 3.4701,             0.00077765,             0.00077765,             0.00077765
                     14,                 1.9477,                 2.7703,                 2.6465,                0.35764,                0.14286,                0.22084,                0.06377,                 2.7028,                 3.6457,                 3.4154,             0.00081686,             0.00081686,             0.00081686
                     15,                 2.0074,                 2.6849,                 2.7317,                 0.3524,                0.14286,                0.20966,                0.08393,                 2.2911,                 3.6411,                 3.0829,              0.0008529,              0.0008529,              0.0008529
                     16,                 1.8447,                 2.7336,                  2.605,                0.28023,                0.19048,                0.21501,                0.09231,                 2.2544,                  3.513,                 3.0425,             0.00088578,             0.00088578,             0.00088578
                     17,                 2.0276,                 2.6949,                 2.7271,                0.35682,                 0.3176,                0.26372,                0.09441,                  2.364,                  3.502,                 3.1179,             0.00091549,             0.00091549,             0.00091549
                     18,                 1.9601,                 2.5852,                   2.62,                0.60215,                0.33333,                0.33167,                0.09061,                 2.5423,                  3.496,                 3.1965,             0.00094203,             0.00094203,             0.00094203
                     19,                 1.9743,                 2.6929,                 2.6153,                0.59204,                0.33333,                0.41813,                0.15269,                 2.4303,                 3.3809,                 3.0698,              0.0009654,              0.0009654,              0.0009654
                     20,                 1.8718,                 2.5406,                 2.5235,                0.62357,                0.42857,                0.38086,                0.12213,                 2.3085,                 3.4662,                 2.9627,              0.0009856,              0.0009856,              0.0009856
                     21,                 2.0305,                 2.6689,                 2.5422,                0.24868,                0.19048,                0.11683,                0.03212,                 2.4024,                 3.7408,                 3.1416,              0.0010026,              0.0010026,              0.0010026
                     22,                  1.907,                 2.7403,                 2.5417,                0.20093,                0.33333,                0.12314,                0.03686,                 2.4451,                 3.6704,                 3.1283,              0.0010165,              0.0010165,              0.0010165
                     23,                 1.9499,                 2.7183,                 2.6571,                0.21061,                0.28571,                0.11453,                0.04316,                 2.4753,                 3.6345,                  3.073,              0.0010272,              0.0010272,              0.0010272
                     24,                 1.8113,                 2.5403,                 2.5349,                0.32401,                0.28571,                0.17996,                0.07644,                 2.4159,                 3.8028,                 3.0726,              0.0010347,              0.0010347,              0.0010347
                     25,                 2.0158,                 2.5702,                 2.5738,                0.25784,                 0.2381,                0.16749,                0.05848,                 2.4659,                 3.9177,                 3.2485,              0.0010391,              0.0010391,              0.0010391
                     26,                 1.8386,                 2.4811,                 2.5571,                0.34833,                 0.2381,                0.19415,                0.08085,                 2.3503,                 3.7511,                 3.3102,                0.00101,                0.00101,                0.00101
                     27,                 1.9186,                 2.5684,                 2.5961,                0.37815,                0.14286,                 0.1566,                0.07074,                 2.3844,                 3.6808,                 3.3567,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.9116,                 2.4929,                 2.4966,                0.34678,                0.19048,                0.25236,                 0.1061,                 2.3069,                  3.562,                 3.1997,              0.0009308,              0.0009308,              0.0009308
