                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0305,                  2.686,                  1.462,                0.00392,                0.95238,                0.52406,                0.35757,                0.67912,                 3.1698,                  1.245,                  6e-05,                  6e-05,                  6e-05
                      2,                0.84442,                 2.4203,                 1.3385,                0.00392,                0.95238,                 0.6882,                0.52439,                0.69448,                 3.1498,                 1.2363,             0.00013861,             0.00013861,             0.00013861
                      3,                0.87216,                 1.8532,                 1.3902,                0.00373,                0.90476,                0.51412,                0.33596,                 1.1412,                 3.2823,                   1.67,             0.00021564,             0.00021564,             0.00021564
                      4,                0.79984,                 1.4884,                 1.2811,                0.00333,                0.80952,                0.45457,                 0.2422,                 1.4666,                 3.3901,                 1.9788,             0.00029109,             0.00029109,             0.00029109
                      5,                0.85207,                 1.3872,                 1.3288,                0.07443,                0.71429,                0.55661,                0.30599,                 1.4613,                 3.3288,                 1.9445,             0.00036495,             0.00036495,             0.00036495
                      6,                0.92625,                 1.5594,                 1.4263,                0.00644,                0.80952,                  0.594,                0.32274,                 1.3385,                 3.2595,                 1.9259,             0.00043723,             0.00043723,             0.00043723
                      7,                 0.8602,                 1.5294,                  1.373,                0.00333,                0.80952,                 0.5294,                0.26905,                 1.4292,                 3.3235,                 1.9545,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.0161,                  1.487,                 1.4244,                0.00314,                 0.7619,                0.39041,                0.23429,                 1.5187,                  3.354,                 1.9515,             0.00057703,             0.00057703,             0.00057703
                      9,                0.94672,                 1.4578,                 1.3816,                 0.0474,                 0.7619,                 0.4405,                0.24265,                 1.6547,                 3.4475,                 2.0688,             0.00064456,             0.00064456,             0.00064456
                     10,                0.91809,                  1.469,                 1.3408,                      1,                0.16768,                0.45808,                0.21763,                 1.8344,                 3.3572,                 2.2959,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.0541,                 1.4557,                  1.395,                0.81858,                0.21702,                0.44827,                0.16882,                 1.7321,                  3.427,                 2.4055,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.0246,                 1.5365,                 1.4496,                0.54279,                0.33333,                0.37864,                0.18242,                 1.4918,                  3.153,                 2.1845,             0.00083763,             0.00083763,             0.00083763
                     13,                0.91758,                 1.3217,                 1.3973,                0.32074,                0.47619,                0.30496,                0.12708,                 1.9912,                 3.5479,                 3.0216,             0.00089882,             0.00089882,             0.00089882
                     14,                0.96938,                 1.4856,                 1.3877,                0.46835,                0.28571,                0.31498,                0.10147,                 2.3837,                 3.8878,                 4.4233,             0.00095843,             0.00095843,             0.00095843
                     15,                0.90956,                 1.3415,                 1.3194,                0.62136,                0.33333,                0.49162,                0.24264,                 1.9085,                 3.0484,                 2.9244,              0.0010165,              0.0010165,              0.0010165
                     16,                0.97911,                 1.3116,                 1.4284,                0.39368,                0.28571,                0.40314,                0.23468,                 1.6513,                 3.0937,                 2.4262,              0.0010729,              0.0010729,              0.0010729
                     17,                0.90102,                 1.3122,                 1.3709,                0.59714,                0.19048,                0.31729,                0.17479,                 1.7324,                 3.2307,                 2.4329,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.0645,                 1.3811,                  1.485,                0.27261,                0.39292,                0.21914,                0.12367,                 1.9813,                 3.2198,                 2.3805,               0.001181,               0.001181,               0.001181
                     19,                 1.0982,                 1.3518,                 1.5451,                0.54946,                 0.2381,                0.22811,                0.14372,                 2.0735,                 3.1261,                 2.3304,              0.0012327,              0.0012327,              0.0012327
                     20,                0.85547,                 1.2963,                 1.3244,                0.41462,                0.38095,                0.32005,                0.14054,                 2.1344,                 3.1085,                 2.4088,              0.0012828,              0.0012828,              0.0012828
                     21,                 1.0225,                 1.3942,                 1.4649,                0.62325,                 0.2381,                0.26822,                0.10383,                 2.2273,                 3.9214,                 2.7749,              0.0013313,              0.0013313,              0.0013313
                     22,                 1.0598,                 1.4602,                 1.4195,                0.82695,                0.33333,                0.38178,                0.14738,                 2.3365,                 3.6256,                 2.8309,              0.0013783,              0.0013783,              0.0013783
                     23,                 1.1025,                 1.3666,                 1.4819,                0.69647,                0.47619,                0.56325,                 0.2515,                 2.0295,                 3.0697,                 2.6883,              0.0014236,              0.0014236,              0.0014236
                     24,                0.97729,                 1.2852,                 1.4202,                0.39811,                0.52381,                0.49288,                0.21058,                 2.0261,                 3.2708,                 2.8589,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.1175,                 1.3375,                 1.4112,                0.39848,                 0.2381,                0.25191,                0.10107,                 2.3059,                 3.2884,                 3.0718,              0.0015096,              0.0015096,              0.0015096
                     26,                 1.1195,                 1.3487,                 1.5447,                0.51454,                0.28571,                0.28892,                0.13507,                 2.3139,                 2.8752,                 3.0732,               0.001505,               0.001505,               0.001505
                     27,                  1.065,                 1.2954,                 1.4297,                0.63936,                0.38095,                 0.3906,                0.15263,                 2.2472,                 2.9471,                 2.9787,              0.0014852,              0.0014852,              0.0014852
                     28,                0.95285,                 1.1476,                 1.3634,                0.39912,                0.50649,                0.41095,                0.18005,                  2.335,                 2.7908,                 3.0445,              0.0014654,              0.0014654,              0.0014654
                     29,                0.98848,                 1.1615,                 1.3421,                0.56665,                 0.2381,                0.30794,                0.12732,                 2.6051,                  2.979,                 3.2983,              0.0014456,              0.0014456,              0.0014456
                     30,                0.99804,                 1.2745,                 1.4463,                0.56405,                0.37029,                0.40031,                0.15311,                 2.3504,                 2.7558,                 2.8158,              0.0014258,              0.0014258,              0.0014258
                     31,                0.97612,                 1.1433,                 1.4237,                0.88698,                0.37441,                0.48037,                0.18865,                 2.1808,                 2.5882,                 2.8323,               0.001406,               0.001406,               0.001406
                     32,                0.96415,                  1.077,                 1.4037,                 0.7505,                0.33333,                0.42768,                0.20897,                 2.3504,                 2.8409,                   3.01,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0285,                 1.1566,                 1.4567,                0.60182,                0.28571,                0.30177,                0.12563,                 2.4759,                 2.8824,                  3.097,              0.0013664,              0.0013664,              0.0013664
                     34,                0.96949,                 1.2025,                 1.3819,                0.35073,                0.33333,                0.22813,                0.07311,                 2.5159,                 3.2677,                 3.1232,              0.0013466,              0.0013466,              0.0013466
                     35,                0.99853,                 1.1499,                 1.3954,                0.33102,                0.42857,                0.30222,                0.08757,                 2.4139,                 2.9917,                  2.995,              0.0013268,              0.0013268,              0.0013268
                     36,                0.88705,                 1.0582,                 1.2592,                0.28815,                0.30893,                0.23578,                0.06325,                 2.5512,                 3.3391,                 3.1469,               0.001307,               0.001307,               0.001307
                     37,                0.96492,                0.99302,                 1.3195,                0.28385,                0.33333,                0.21597,                0.06681,                 2.6831,                 3.4144,                 3.4646,              0.0012872,              0.0012872,              0.0012872
