                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2454,                 3.7486,                 4.2205,                0.00294,                0.71429,                0.01579,                0.00354,                 3.1615,                 3.8459,                 4.1586,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.0483,                 3.6179,                 4.2027,                0.00275,                0.66667,                0.02737,                0.00584,                 3.1599,                 3.8479,                 4.1577,             0.00013861,             0.00013861,             0.00013861
                      3,                 3.1049,                 3.4818,                  4.181,                0.00275,                0.66667,                0.03608,                0.00907,                 3.1543,                 3.8491,                 4.1544,             0.00021564,             0.00021564,             0.00021564
                      4,                 3.1435,                 3.4961,                 4.1461,                0.00294,                0.71429,                0.05276,                0.01152,                 3.1443,                 3.8501,                 4.1478,             0.00029109,             0.00029109,             0.00029109
                      5,                 3.1523,                 3.6138,                 4.1519,                0.00275,                0.66667,                0.05961,                0.01186,                 3.1357,                 3.8472,                 4.1418,             0.00036495,             0.00036495,             0.00036495
                      6,                 3.0055,                 3.4916,                 4.1292,                0.00275,                0.66667,                0.10035,                0.02085,                  3.121,                 3.8424,                 4.1323,             0.00043723,             0.00043723,             0.00043723
                      7,                 2.9881,                 3.5846,                 4.1242,                0.00275,                0.66667,                0.13341,                0.03314,                 3.1023,                 3.8364,                 4.1191,             0.00050792,             0.00050792,             0.00050792
                      8,                 3.0656,                 3.4423,                 4.0666,                0.00275,                0.66667,                0.30584,                 0.0633,                 3.0774,                 3.8268,                 4.0983,             0.00057703,             0.00057703,             0.00057703
                      9,                 3.0767,                 3.4141,                 4.0466,                0.00275,                0.66667,                0.36793,                 0.0906,                 3.0679,                 3.8179,                 4.0707,             0.00064456,             0.00064456,             0.00064456
                     10,                 3.0759,                 3.4776,                 4.0186,                0.00275,                0.66667,                0.32083,                0.08479,                 3.0728,                 3.8237,                  4.032,              0.0007105,              0.0007105,              0.0007105
                     11,                 3.0252,                 3.4918,                 3.9552,                0.00255,                0.61905,                0.17285,                0.03174,                 3.1057,                  3.847,                 3.9905,             0.00077486,             0.00077486,             0.00077486
                     12,                 3.1629,                 3.5294,                  3.933,                0.00255,                0.61905,                0.24359,                0.04583,                 3.1625,                 3.9745,                 3.8922,             0.00083763,             0.00083763,             0.00083763
                     13,                 2.7125,                 3.4065,                 3.8523,                0.00275,                0.66667,                0.21424,                0.04718,                 3.1564,                 4.0614,                 3.8062,             0.00089882,             0.00089882,             0.00089882
                     14,                 3.0176,                  3.491,                 3.8614,                0.00275,                0.66667,                  0.112,                0.02834,                 3.1122,                 4.0216,                 3.7618,             0.00095843,             0.00095843,             0.00095843
                     15,                 2.8849,                  3.459,                 3.8047,                0.01041,                0.66667,                0.07358,                0.01964,                 3.0249,                 4.3666,                 3.6891,              0.0010165,              0.0010165,              0.0010165
                     16,                 2.7683,                 3.3928,                 3.7389,                0.01439,                0.61905,                0.07313,                0.02124,                 2.9793,                 5.6587,                 3.7112,              0.0010729,              0.0010729,              0.0010729
