                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.4328,                  3.486,                 4.1022,                0.00415,                      1,                0.32441,                 0.0938,                 2.4403,                  3.443,                 4.0987,             0.00045111,             0.00045111,             0.00045111
                     36,                 3.0616,                 3.2369,                 4.0262,                0.00415,                      1,                0.32441,                 0.0938,                 2.4403,                  3.443,                 4.0987,             0.00045745,             0.00045745,             0.00045745
                     37,                 2.9924,                  3.359,                 4.0039,                0.00416,                      1,                 0.2453,                0.08027,                  2.429,                 3.4335,                 4.0873,             0.00046339,             0.00046339,             0.00046339
                     38,                 3.0479,                 3.3567,                 4.0052,                0.00416,                      1,                 0.2453,                0.08027,                  2.429,                 3.4335,                 4.0873,             0.00046894,             0.00046894,             0.00046894
                     39,                 2.8448,                  3.209,                 4.0243,                0.00416,                      1,                0.22735,                0.07265,                 2.4164,                 3.4246,                 4.0742,             0.00047409,             0.00047409,             0.00047409
                     40,                 3.0326,                 3.3923,                 3.9851,                0.00416,                      1,                0.22735,                0.07265,                 2.4164,                 3.4246,                 4.0742,             0.00047884,             0.00047884,             0.00047884
                     41,                 2.9402,                 3.0112,                 3.9278,                0.00405,                      1,                0.18729,                 0.0585,                 2.4051,                 3.4158,                 4.0621,              0.0004832,              0.0004832,              0.0004832
                     42,                 2.5728,                 3.2303,                 3.9292,                0.00405,                      1,                0.18729,                 0.0585,                 2.4051,                 3.4158,                 4.0621,             0.00048716,             0.00048716,             0.00048716
                     43,                 3.0176,                 3.1898,                 3.9318,                0.00409,                      1,                0.23759,                0.06624,                 2.3915,                 3.4068,                 4.0478,             0.00049073,             0.00049073,             0.00049073
                     44,                 2.8702,                 3.1268,                 3.8956,                0.00409,                      1,                0.23759,                0.06624,                 2.3915,                 3.4068,                 4.0478,              0.0004939,              0.0004939,              0.0004939
                     45,                   3.06,                 3.0469,                 3.9176,                0.00406,                      1,                0.22095,                0.05535,                  2.386,                 3.4006,                 4.0387,             0.00049667,             0.00049667,             0.00049667
                     46,                 3.1668,                 3.1119,                 3.7864,                0.00406,                      1,                0.22095,                0.05535,                  2.386,                 3.4006,                 4.0387,             0.00049905,             0.00049905,             0.00049905
                     47,                 2.9144,                 3.2505,                 3.9301,                0.00405,                      1,                0.20411,                0.05312,                 2.3709,                 3.3959,                 4.0205,             0.00050103,             0.00050103,             0.00050103
                     48,                  2.916,                  3.284,                 3.7968,                0.00405,                      1,                0.20411,                0.05312,                 2.3709,                 3.3959,                 4.0205,             0.00050262,             0.00050262,             0.00050262
                     49,                 3.1034,                 3.1201,                 3.9321,                0.00403,                      1,                0.23842,                0.05932,                 2.3619,                 3.3943,                 4.0075,             0.00050381,             0.00050381,             0.00050381
                     50,                 2.8869,                 3.0313,                 3.7894,                0.00403,                      1,                0.23842,                0.05932,                 2.3619,                 3.3943,                 4.0075,              0.0005046,              0.0005046,              0.0005046
                     51,                  2.982,                 3.0814,                 3.8448,                0.00405,                      1,                0.21799,                0.05718,                 2.3572,                 3.3916,                 3.9974,               0.000505,               0.000505,               0.000505
                     52,                  3.101,                  3.117,                 3.8207,                0.00405,                      1,                0.21799,                0.05718,                 2.3572,                 3.3916,                 3.9974,               0.000505,               0.000505,               0.000505
                     53,                 2.8334,                 3.1012,                 3.8394,                0.00405,                      1,                0.21799,                0.05718,                 2.3572,                 3.3916,                 3.9974,             0.00050461,             0.00050461,             0.00050461
                     54,                 2.7607,                 3.0473,                 3.8331,                 0.0041,                      1,                0.21616,                 0.0534,                 2.3508,                 3.3864,                 3.9765,             0.00050382,             0.00050382,             0.00050382
                     55,                  2.751,                 2.9183,                 3.7462,                 0.0041,                      1,                0.21616,                 0.0534,                 2.3508,                 3.3864,                 3.9765,             0.00050263,             0.00050263,             0.00050263
                     56,                 2.8945,                 2.9406,                 3.7923,                 0.0041,                      1,                0.21616,                 0.0534,                 2.3508,                 3.3864,                 3.9765,             0.00050105,             0.00050105,             0.00050105
                     57,                 2.7496,                 3.0339,                 3.7618,                0.00409,                      1,                0.15771,                0.04765,                 2.3446,                 3.3837,                 3.9467,             0.00049907,             0.00049907,             0.00049907
                     58,                 2.5807,                 3.0528,                 3.7305,                0.00409,                      1,                0.15771,                0.04765,                 2.3446,                 3.3837,                 3.9467,              0.0004967,              0.0004967,              0.0004967
                     59,                 2.8422,                 3.0977,                 3.8016,                0.00409,                      1,                0.15771,                0.04765,                 2.3446,                 3.3837,                 3.9467,             0.00049393,             0.00049393,             0.00049393
                     60,                 2.5881,                 2.9902,                 3.5623,                0.00408,                      1,                0.15844,                 0.0445,                 2.3438,                 3.3784,                 3.9234,             0.00049076,             0.00049076,             0.00049076
                     61,                 2.7326,                 3.0427,                 3.7339,                0.00408,                      1,                0.15844,                 0.0445,                 2.3438,                 3.3784,                 3.9234,              0.0004872,              0.0004872,              0.0004872
                     62,                 2.8548,                 3.0824,                 3.7309,                0.00408,                      1,                0.15844,                 0.0445,                 2.3438,                 3.3784,                 3.9234,             0.00048324,             0.00048324,             0.00048324
                     63,                 2.7567,                 3.0316,                 3.6554,                0.00411,                      1,                0.04946,                0.01822,                 2.3509,                 3.3691,                 3.9493,             0.00047889,             0.00047889,             0.00047889
                     64,                 2.5039,                 2.8293,                 3.5338,                0.00411,                      1,                0.04946,                0.01822,                 2.3509,                 3.3691,                 3.9493,             0.00047414,             0.00047414,             0.00047414
                     65,                  2.748,                 2.9525,                 3.6212,                0.00411,                      1,                0.04946,                0.01822,                 2.3509,                 3.3691,                 3.9493,             0.00046899,             0.00046899,             0.00046899
                     66,                 2.9028,                 2.9833,                 3.7126,                0.00409,                      1,                0.04226,                0.01527,                 2.3574,                 3.3688,                 3.9693,             0.00046345,             0.00046345,             0.00046345
                     67,                  2.716,                 2.8092,                 3.5202,                0.00409,                      1,                0.04226,                0.01527,                 2.3574,                 3.3688,                 3.9693,             0.00045751,             0.00045751,             0.00045751
                     68,                  2.494,                 3.0173,                 3.5826,                0.00409,                      1,                0.04226,                0.01527,                 2.3574,                 3.3688,                 3.9693,             0.00045118,             0.00045118,             0.00045118
                     69,                 2.8906,                 2.9453,                 3.6393,                0.00407,                      1,                0.04037,                0.01388,                  2.376,                 3.3701,                 4.0023,             0.00044445,             0.00044445,             0.00044445
                     70,                 2.8327,                 2.9526,                 3.5988,                0.00407,                      1,                0.04037,                0.01388,                  2.376,                 3.3701,                 4.0023,             0.00043732,             0.00043732,             0.00043732
                     71,                 2.6059,                 2.9775,                 3.6142,                0.00407,                      1,                0.04037,                0.01388,                  2.376,                 3.3701,                 4.0023,              0.0004298,              0.0004298,              0.0004298
                     72,                 2.8634,                 3.0994,                 3.7076,                0.00401,                      1,                0.04362,                0.01555,                 2.3764,                 3.3638,                 3.9901,             0.00042188,             0.00042188,             0.00042188
                     73,                 2.5564,                 2.7929,                 3.4941,                0.00401,                      1,                0.04362,                0.01555,                 2.3764,                 3.3638,                 3.9901,             0.00041357,             0.00041357,             0.00041357
