                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.424,                 2.1589,                 1.9984,                0.75574,                0.23871,                0.50782,                0.27568,                 1.5338,                  3.561,                 2.3098,                0.00028,                0.00028,                0.00028
                      2,                 1.3576,                 1.9422,                 1.9327,                0.81828,                0.34641,                0.60174,                0.26958,                 2.0511,                 3.3945,                 2.6931,             0.00056852,             0.00056852,             0.00056852
                      3,                 1.3598,                 1.9034,                  1.943,                0.52444,                0.57692,                0.51389,                0.24444,                 1.8657,                 3.0588,                 2.7794,             0.00084515,             0.00084515,             0.00084515
                      4,                 1.3564,                 1.7951,                 1.9543,                0.77023,                0.38462,                0.54933,                0.26666,                 1.7849,                 2.9895,                 2.5706,              0.0011099,              0.0011099,              0.0011099
                      5,                 1.4211,                 1.8268,                 1.9609,                0.29465,                0.53846,                0.30799,                0.13279,                 1.9141,                 2.9729,                 2.6519,              0.0013628,              0.0013628,              0.0013628
                      6,                 1.4383,                 1.8146,                 2.0353,                0.66549,                0.53575,                0.53721,                0.25052,                 1.9038,                 3.0546,                 2.7041,              0.0016038,              0.0016038,              0.0016038
                      7,                 1.4198,                 1.7408,                  1.989,                0.55573,                    0.5,                0.41046,                0.22789,                 2.1102,                 2.8325,                 2.9167,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4743,                 1.8274,                 2.0122,                 0.6166,                0.57692,                0.52267,                0.25435,                 1.9808,                 3.2947,                 2.7191,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4341,                 1.7307,                 2.0273,                0.46646,                0.65385,                0.54025,                 0.2556,                   1.97,                 2.7446,                 2.7907,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4134,                 1.6163,                 1.9781,                0.59796,                0.53846,                0.49489,                0.24358,                  2.127,                 2.5759,                 2.7809,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3939,                 1.6685,                 1.9586,                0.83576,                0.46154,                0.52798,                 0.2877,                 1.9174,                 2.3798,                 2.5247,               0.001604,               0.001604,               0.001604
                     12,                 1.4067,                 1.6379,                 1.9671,                0.60918,                    0.5,                 0.5137,                0.24582,                 1.9653,                 2.5434,                 2.6507,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4404,                 1.6571,                 1.9886,                0.90876,                0.38322,                0.52784,                0.24278,                 2.0189,                 2.4541,                 2.6726,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.4336,                 1.5786,                 1.9917,                 0.7839,                0.55861,                0.62797,                0.24033,                 2.0883,                 2.2426,                 2.8198,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3922,                 1.5445,                 1.9198,                0.59496,                0.42308,                 0.4624,                0.21631,                 1.8776,                 2.3768,                 2.5932,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.4466,                 1.5409,                 1.9766,                0.81837,                0.38462,                0.47318,                0.27611,                  1.787,                 2.4097,                 2.4641,               0.001406,               0.001406,               0.001406
                     17,                  1.507,                 1.6724,                 2.0018,                0.44383,                0.61538,                0.51329,                0.29176,                 1.6716,                 2.2453,                 2.3862,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.4212,                 1.5508,                 1.9926,                0.93581,                0.46154,                0.65047,                0.36164,                 1.7389,                 2.0914,                 2.4494,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3839,                   1.51,                 1.9756,                0.80156,                    0.5,                0.62348,                0.32627,                  1.934,                  2.144,                 2.5315,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.3948,                 1.4618,                 1.9506,                0.69398,                 0.5238,                0.60188,                 0.3317,                 1.9341,                 2.0659,                 2.5875,              0.0012476,              0.0012476,              0.0012476
