                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.621,                  2.445,                 2.2792,                      1,                0.18119,                0.45536,                0.27259,                 1.6685,                 3.6584,                 2.4595,                0.00028,                0.00028,                0.00028
                      2,                 1.5379,                 2.2494,                 2.1942,                0.60181,                0.26923,                0.39962,                0.22229,                 1.7892,                 3.4737,                 2.5649,             0.00055703,             0.00055703,             0.00055703
                      3,                 1.5882,                 2.2023,                 2.2037,                0.58754,                0.49335,                 0.3954,                0.16917,                 1.8759,                 3.3377,                 2.5879,              0.0008103,              0.0008103,              0.0008103
                      4,                 1.5478,                 2.1057,                 2.1745,                0.82704,                0.18504,                0.29454,                0.12473,                 2.0267,                 3.4534,                 2.8224,              0.0010398,              0.0010398,              0.0010398
                      5,                 1.5624,                 2.1215,                 2.1644,                0.23865,                 0.3136,                0.21969,                 0.0679,                 2.3399,                  3.383,                  3.115,              0.0012456,              0.0012456,              0.0012456
                      6,                 1.6043,                  2.058,                 2.2073,                  0.518,                0.34615,                0.33126,                0.14374,                 1.9223,                 3.2444,                 2.6731,              0.0014276,              0.0014276,              0.0014276
                      7,                 1.6053,                 2.0227,                 2.2076,                0.49786,                0.38462,                0.40501,                0.19747,                 1.9521,                 3.3437,                 2.6204,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.5811,                 2.0118,                 2.1555,                0.55217,                0.38462,                0.39034,                0.16295,                  1.989,                 3.3701,                 2.7195,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.5688,                   1.92,                 2.1722,                0.40243,                0.61538,                0.44748,                0.15919,                 2.2251,                 3.6409,                 2.8885,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.5151,                  1.786,                 2.0971,                0.78354,                0.46154,                 0.5287,                0.21009,                 2.1807,                  3.408,                  2.867,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.5143,                 1.8303,                 2.0911,                0.73817,                    0.5,                0.52809,                0.22834,                 2.2906,                 2.6374,                  2.887,               0.001208,               0.001208,               0.001208
                     12,                 1.5175,                 1.7825,                 2.0967,                0.84272,                0.57692,                0.61844,                0.25377,                 2.1087,                 2.3466,                 2.7865,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.5184,                  1.786,                 2.0926,                0.54723,                0.53846,                0.49058,                0.17277,                 2.2831,                 2.4815,                  2.938,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.5182,                 1.7444,                 2.0918,                0.74082,                    0.5,                 0.5415,                0.25907,                 1.9658,                 2.3401,                 2.6755,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.4422,                 1.6939,                 1.9915,                0.57486,                0.57692,                0.51456,                0.23285,                 2.0314,                 2.3702,                 2.7771,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.3385,                 1.8105,                 2.0517,                0.69504,                    0.5,                0.57289,                0.26927,                 2.0406,                 2.5234,                 2.7666,               0.000812,               0.000812,               0.000812
                     17,                 1.3113,                 1.7394,                 2.0094,                 0.8451,                0.42308,                0.58285,                0.30522,                 1.6635,                 2.4627,                 2.4671,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.3121,                 1.5992,                 2.0779,                0.63439,                0.53407,                0.58086,                 0.2843,                 1.7663,                 2.2375,                  2.567,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.2191,                 1.4565,                 1.9451,                0.73702,                    0.5,                0.55421,                0.32284,                 1.6514,                 2.1815,                 2.3238,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.2025,                 1.4033,                 1.8818,                 0.6241,                0.63893,                0.58982,                0.33561,                 1.6957,                 2.1836,                 2.3767,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.2668,                 1.4005,                  1.962,                0.68537,                0.57692,                0.65169,                0.35992,                  1.658,                 2.2515,                 2.3607,               0.000416,               0.000416,               0.000416
                     22,                 1.1566,                 1.2932,                 1.8302,                0.61503,                0.53846,                0.56084,                0.31807,                  1.677,                 2.2439,                 2.3567,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.1555,                 1.2945,                 1.8762,                0.74438,                0.53846,                0.63329,                0.35581,                 1.6563,                  2.151,                 2.3306,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.0724,                 1.2006,                 1.7922,                0.68979,                0.61538,                0.64583,                0.35005,                 1.6769,                 2.1198,                 2.3592,              0.0001784,              0.0001784,              0.0001784
                     25,                 1.1534,                 1.2185,                 1.8562,                0.70822,                0.61538,                0.67844,                0.35531,                 1.6927,                 2.1078,                 2.3537,               9.92e-05,               9.92e-05,               9.92e-05
