                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5522,                  2.718,                 2.1853,                0.00353,                0.85714,                0.44741,                 0.2168,                  1.815,                 3.7961,                 2.6183,                  6e-05,                  6e-05,                  6e-05
                      2,                  1.475,                 2.4219,                 2.1112,                0.00333,                0.80952,                0.47592,                0.21727,                 1.7181,                 3.7362,                 2.4805,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.3386,                 2.1251,                 2.0576,                0.00333,                0.80952,                0.44344,                0.22767,                 1.8553,                 3.7569,                 2.6004,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.4355,                 1.9821,                 2.0704,                0.89119,                0.38095,                0.53311,                0.22245,                 1.7706,                 3.7594,                  2.612,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.3686,                 2.0012,                 2.0266,                      1,                0.08724,                0.50999,                0.19047,                 1.8135,                 3.7091,                 2.6648,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.4388,                 2.1001,                 2.0772,                      1,                0.24876,                0.49922,                0.19737,                 1.9431,                 3.7325,                 2.7378,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.3331,                 2.0873,                 2.0219,                      1,                0.22862,                 0.4874,                0.24106,                 2.1514,                 3.6961,                 2.8985,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.4471,                 2.0826,                 2.0689,                0.81808,                 0.2381,                0.48249,                0.25329,                 1.9792,                  3.621,                 2.7923,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.4136,                 1.9696,                 2.0808,                0.80925,                0.38095,                0.49318,                0.22899,                 1.9811,                  3.568,                 2.8109,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.4091,                 2.0855,                 2.0842,                0.73747,                0.38095,                0.50672,                0.21928,                 1.9828,                 3.3382,                 2.8294,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.4292,                 1.9715,                 2.0788,                0.62584,                0.31955,                0.42583,                0.22632,                 2.1202,                 3.4567,                  3.072,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.4373,                 2.0337,                 2.0696,                0.54445,                0.38095,                0.42387,                0.19319,                 2.1284,                 3.2791,                 2.9084,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.3543,                 1.9372,                 2.0646,                0.46411,                 0.2889,                0.34487,                 0.1638,                 2.4895,                  3.578,                 3.0798,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.5143,                 2.1111,                 2.1362,                0.43285,                0.25527,                0.35609,                0.14379,                 2.6274,                 3.5188,                  3.169,             0.00095843,             0.00095843,             0.00095843
                     15,                 1.4639,                  2.096,                 2.0748,                0.48942,                0.36584,                0.44032,                0.18846,                 2.3289,                 3.4066,                 3.0175,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.4247,                 1.9901,                 2.0936,                0.68562,                0.33333,                0.46461,                0.22048,                 2.1101,                 3.2828,                 2.8941,              0.0010729,              0.0010729,              0.0010729
                     17,                 1.4587,                 1.9546,                 2.1404,                0.80046,                0.33333,                0.46527,                0.21643,                 2.1662,                 3.0629,                 2.8467,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.4514,                 1.9533,                 2.1329,                 0.7772,                0.49922,                0.56985,                0.24766,                 2.2018,                 3.0122,                 2.8643,               0.001181,               0.001181,               0.001181
                     19,                 1.5534,                 1.9486,                 2.1711,                0.78223,                0.51376,                0.55819,                0.28425,                 1.9617,                  2.883,                 2.7467,              0.0012327,              0.0012327,              0.0012327
                     20,                 1.3724,                 1.9046,                 2.0323,                0.61144,                0.33333,                0.37459,                0.22709,                 1.7596,                 2.9613,                 2.5395,              0.0012828,              0.0012828,              0.0012828
                     21,                 1.5482,                 1.9785,                 2.0892,                0.51193,                0.42857,                0.38986,                 0.1527,                 1.9419,                 3.3103,                 2.8516,              0.0013313,              0.0013313,              0.0013313
                     22,                 1.4843,                 2.1018,                 2.0558,                 0.7016,                 0.2381,                0.29713,                0.12896,                 2.0818,                 3.2294,                 2.9359,              0.0013783,              0.0013783,              0.0013783
                     23,                 1.5381,                 2.0698,                  2.193,                0.48892,                0.28571,                 0.3161,                0.13855,                 2.1203,                 3.1882,                 2.9493,              0.0014236,              0.0014236,              0.0014236
                     24,                 1.5179,                 2.0159,                 2.1585,                0.57878,                0.52381,                 0.4779,                0.19399,                 2.2349,                 3.1684,                 3.0458,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.6592,                 2.1236,                 2.2068,                0.69209,                0.42816,                0.50445,                0.21471,                 2.1782,                 3.4837,                 3.0682,              0.0015096,              0.0015096,              0.0015096
                     26,                 1.5284,                 2.0206,                 2.2372,                0.61499,                0.42857,                0.48792,                 0.2387,                 2.1111,                 3.5332,                 3.0262,               0.001505,               0.001505,               0.001505
                     27,                  1.531,                 1.9684,                 2.1418,                0.39607,                0.42857,                 0.4069,                0.19409,                 2.4096,                 3.5525,                 3.3267,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.5179,                 1.8151,                 2.0617,                0.56341,                0.38095,                0.41653,                0.16854,                 2.4024,                 3.4002,                 3.3126,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4572,                 1.9192,                 2.0864,                0.53246,                0.42857,                0.43014,                 0.1795,                 2.1782,                  3.126,                 2.9474,              0.0014456,              0.0014456,              0.0014456
